"4748"	[272218.2900000003, 15733.479999999994, 145.57127807486648]
"4755"	[135310.00999999995, 8666.85, 156.24712471131633]
"4762"	[515769.179999995, 43263.560000000114, 70.78907219324664]
"4769"	[781323.4000000011, 63324.149999999994, 173.0122674933572]
"4776"	[37095.090000000055, 2800.9399999999996, 86.6707710280375]
"4783"	[292237.34000000096, 22062.419999999987, 134.30024816176515]
"4790"	[145350.41999999952, 7863.219999999974, 48.03384666226025]
"4797"	[377867.7700000011, 26784.0, 182.54481642512133]
"4804"	[654480.2500000066, 48855.649999999994, 158.08701690821417]
"4811"	[100645.06000000013, 6262.100000000003, 101.55909182643808]
"4818"	[912747.9400000153, 68624.39, 111.8289561382033]
"4825"	[221358.88999999908, 15385.080000000002, 107.04008220502857]
"4832"	[12516.46, 654.0, 139.07177777777775]
"4839"	[463278.3200000019, 38926.00999999997, 93.38405966539042]
"4846"	[175464.7300000006, 13189.380000000006, 101.30758083140911]
"4853"	[322185.38000000187, 20970.159999999953, 61.544485195797876]
"4860"	[511882.8600000033, 23894.479999999785, 95.57185586258464]
"4867"	[708454.6500000028, 44749.89999999994, 115.74165169090064]
"4874"	[250643.10000000233, 17217.389999999967, 31.240570858781297]
"4881"	[188406.13000000015, 14765.600000000004, 104.6700722222223]
"4888"	[581126.1900000002, 35527.679999999986, 50.819955400087466]
"4895"	[822042.9900000048, 43660.99999999989, 93.04391511035708]
"4902"	[936592.230000018, 48275.41000000043, 79.64896930011209]
"4909"	[345071.8300000002, 27348.099999999977, 120.02498434782615]
"4916"	[2480.310000000001, 117.75, 50.61857142857144]
"4923"	[93551.62000000018, 7756.930000000002, 139.2137202380955]
"4930"	[142459.17000000045, 10056.200000000006, 133.6389962476552]
"4937"	[199905.09, 16751.119999999988, 122.19137530562347]
"4944"	[145713.53000000014, 10559.750000000002, 151.6269823100938]
"4951"	[19762.469999999998, 1331.52, 83.3859493670886]
"4958"	[593539.880000004, 37827.27999999968, 54.55329779411801]
"4965"	[4287.18, 264.0, 69.14806451612904]
"4972"	[369948.3300000039, 31783.359999999997, 40.15503419081775]
"4979"	[410783.60000000364, 16684.199999999913, 107.14230568596861]
"4986"	[999701.2700000046, 65901.3600000001, 185.64554688950875]
"4993"	[655647.1900000031, 49764.05000000018, 74.44614397638277]
"5000"	[216808.70000000013, 15675.350000000019, 122.49079096045205]
"5007"	[617259.2200000011, 51616.990000000005, 84.4634948002191]
"5014"	[198584.71999999988, 7411.539999999999, 116.19936805149203]
"5021"	[228805.07999999955, 15585.440000000024, 90.65177496038017]
"5028"	[622029.6200000006, 34184.63999999964, 145.64027628190132]
"5035"	[118750.0000000001, 6026.240000000005, 146.24384236453216]
"5042"	[712816.4100000003, 32376.220000000147, 114.93331344727511]
"5049"	[12352.229999999992, 680.55, 54.41511013215855]
"5056"	[89341.6, 5305.880000000006, 184.2094845360825]
"5063"	[737017.6300000174, 39094.76999999941, 135.43139103271176]
"5070"	[355413.83999999956, 30224.579999999856, 33.409836435420154]
"5077"	[2164569.4000000227, 151832.52000000005, 165.82926530299721]
"5084"	[7138.750000000002, 425.60000000000014, 72.10858585858588]
"5091"	[235653.82999999952, 15400.350000000135, 40.351683219178]
"5098"	[961222.7500000212, 46350.63999999985, 142.99654120797697]
"5105"	[1590447.5500000084, 101559.9300000004, 141.05964966740652]
"5112"	[106118.32999999968, 6494.63, 120.72620022753092]
"5119"	[129257.88999999988, 11187.660000000002, 106.29760690789465]
"5126"	[2413316.299999989, 191158.81000000043, 134.04334036880633]
"5133"	[444299.1000000035, 35368.75, 100.77094579269756]
