"SHELBY"	[4094413.01000002, 279911.83999999816, 73874.01999998622]
"Union"	[4333836.120000025, 334023.6099999998, 88236.08999998329]
"Van Buren"	[859416.5699999974, 63508.0600000002, 16772.920000000213]
"WARREN"	[12807972.29000079, 866852.8499999922, 228736.8099999644]
"WAYNE"	[605500.0800000023, 42964.09999999997, 11326.040000000476]
"WORTH"	[1237234.3200000022, 97088.57000000024, 25599.27000000143]
"WRIGHT"	[3260976.4300000723, 253704.3599999996, 66937.66999998923]
"Winnebago"	[3215617.9299999536, 268680.73999999894, 70978.77999998243]
"CEDAR"	[2772887.6000000355, 208712.37999999907, 55008.469999984736]
"Clay"	[6890403.840000255, 576128.2099999933, 152204.02999998824]
"Clinton"	[15352958.810002374, 1175867.7499999856, 310654.82000016794]
"Dallas"	[37801993.010000974, 2403828.310000054, 634995.7600001694]
"Dickinson"	[18327587.470002867, 1373408.710000018, 362809.1500003138]
"FREMONT"	[209671.5600000002, 15638.320000000009, 4126.500000000037]
"Floyd"	[5145227.589999922, 402536.95999999647, 106336.52999999898]
"Franklin"	[2102122.2599999476, 170965.4700000009, 45157.16999999226]
"Fremont"	[95617.9000000001, 6741.800000000002, 1781.9600000000207]
"Greene"	[1875226.6299999373, 145609.66000000166, 38449.719999994166]
"HENRY"	[4149206.2100001383, 274314.3199999938, 72377.27999998206]
"Hardin"	[10190829.43000042, 808211.6199999969, 213456.76999999283]
"Ida"	[2208604.3099999535, 170576.96000000014, 45048.14999999256]
"Iowa"	[8926568.06000034, 669885.1599999986, 176922.34999999177]
"JACKSON"	[4797179.430000103, 361886.609999994, 95461.71999997602]
"JASPER"	[8190581.7399996305, 582397.2799999693, 153632.39999997095]
"KEOKUK"	[813841.8800000096, 67410.36000000076, 17747.49000000155]
"MADISON"	[3846090.9200000954, 275826.7099999963, 72756.90999997735]
"MITCHELL"	[1525084.4399999538, 120528.35000000088, 31767.339999999225]
"MUSCATINE"	[15535356.640003005, 1029084.8799999753, 271415.9500000149]
"Madison"	[3150509.790000004, 246731.92000000036, 65179.73999998102]
"Palo Alto"	[2903050.07, 234031.30999999927, 61813.919999975406]
"Ringgold"	[654308.7399999999, 52816.94000000001, 13941.000000000742]
"SCOTT"	[98844415.48997717, 6111199.569997561, 1612771.8799985475]
"STORY"	[41277032.93999979, 2763725.9700006437, 729219.0400009811]
"WOODBURY"	[48446617.70000174, 3048075.920000681, 804321.5700009348]
"Warren"	[9580548.780000221, 741637.0299999915, 195922.04000003816]
"Webster"	[15317613.510002937, 1125935.390000028, 297418.8800001633]
"Wright"	[2735469.6799999867, 225289.66000000024, 59511.029999985316]
"Appanoose"	[3607221.930000096, 274211.15000000055, 72443.68999998026]
"BUTLER"	[1427631.900000006, 117362.35000000069, 30954.640000001065]
"Boone"	[8386862.68999984, 675030.3599999922, 178327.6000000149]
"Cass"	[5160826.929999928, 398323.479999997, 105231.23999998694]
"Crawford"	[5841010.990000108, 444509.8399999972, 117422.80999998606]
"DUBUQUE"	[42289144.240000024, 2791137.9300004034, 736545.5200011296]
"Davis"	[437229.10000000277, 38287.25, 10114.410000000005]
"Dubuque"	[37966497.830001794, 2749245.170000198, 726334.6200013023]
"GRUNDY"	[1388147.590000013, 118002.50999999994, 31122.37000000159]
"GUTHRIE"	[1596144.9600000016, 119636.67999999993, 31536.64000000122]
"HOWARD"	[3403491.929999978, 264072.6399999993, 69678.77999998553]
"IDA"	[2618898.4400000516, 184893.0499999993, 48780.20999999365]
"Keokuk"	[621085.8499999907, 55056.25000000008, 14545.050000000589]
"LUCAS"	[2148387.5999999642, 147673.82000000047, 38956.67999999821]
"MONTGOMERY"	[3160421.760000052, 223557.03999999972, 58988.16999998821]
"Marion"	[9278286.920000419, 681480.2299999789, 180011.79000003682]
"OSCEOLA"	[1156253.600000005, 84525.14000000103, 22286.429999999596]
"Osceola"	[1091674.7899999844, 89072.79000000012, 23529.000000000666]
"Page"	[5231582.30999987, 383605.67999999714, 101323.40999998777]
"Plymouth"	[9587618.140000505, 711771.4799999942, 188025.09000000998]
"Polk"	[304086204.9594319, 19972545.29000369, 5276421.599928078]
"SIOUX"	[8245636.769999618, 583905.680000001, 154065.24999997005]
"TAMA"	[3470689.1000001337, 252049.8599999999, 66486.6099999876]
"TAYLOR"	[528099.9099999991, 37737.42000000005, 9944.250000000116]
