"Anheuser-Busch/Longtail Libations"	[950.4000000000001, 217.15]
"BLACK ROCK SPIRITS"	[94306.5, 2981.149999999998]
"Biagio Cru And Estate Wines, LLC"	[50418.719999999994, 3564.0]
"Boston Beer Company"	[3711.6000000000004, 22.5]
"Brown-Forman Corporation"	[80006730.37000154, 3410219.2700005476]
"CLASSIC WINE IMPORTS"	[262.8, 1.5]
"Caledonia Spirits"	[5192.099999999999, 99.6]
"Casa 1921 LLC"	[6891.12, 171.0]
"Cats Eye Distillery"	[181206.0300000004, 4333.5]
"Charbay Distillers LLC"	[3548.64, 76.5]
"Colorado Gold Distillery"	[57238.5, 2544.0]
"DV Spirits LLC"	[192694.58999999997, 8065.5]
"Domaine Charbay"	[4907.46, 111.0]
"Domaine Select"	[1972.62, 40.5]
"Driftless Glen Distillery"	[164173.5, 3874.5]
"E and J Gallo Winery"	[1991380.019999787, 144824.34000000067]
"Famous Brands"	[12072.0, 377.25]
"Fire Tail Brands Llc"	[182.16, 18.0]
"Georgetown Trading Co. LLC"	[31678.5, 969.75]
"Green Frog Distillery, LLC"	[146265.75, 4312.5]
"Hemingway Rum Company LLC"	[3002.3400000000006, 72.0]
"Honey Creek Distillery"	[4045.840000000001, 154.5]
"Inter Wines Group"	[6142.5, 170.25]
"Iowa Distilling Company"	[875963.7900000247, 38393.110000000015]
"Jacob Rieger & Company LLC"	[61947.7099999999, 2046.75]
"Koval Distillery"	[6390.0, 126.0]
"Laird And Company"	[24487644.590000324, 3720588.150000845]
"Leatherbee Distillers"	[567.12, 18.0]
"Levecke Corporation"	[4516074.689999992, 647641.5]
"MODERN SPIRIT LLC"	[1553.04, 40.5]
"MOET HENNESSY USA"	[35915594.8700112, 823697.7899999957]
"Maverick Spirit LLC"	[684.0, 18.0]
"North Texas Distillery"	[120.24, 10.5]
"PARADISE DISTILLING COMPANY"	[40953.59999999999, 1602.0]
"PROST BEVERAGE COMPANY"	[171849.0, 5204.119999999997]
"Pacific Edge Wine & Spirits"	[2169.88, 28.5]
"Palm Bay Imports, Inc."	[160818.6400000012, 5828.25]
"Park Street Imports-Philadelphia Dis"	[1534.5, 49.5]
"Paterno Imports LTD / Terlato Wines International"	[30926.239999999936, 1015.5]
"Piedmont Distillers"	[2817787.379999422, 131818.9100000001]
"Pittsburgh Distilling Company LLC"	[499.5, 9.0]
"Premier Distributors LLC"	[30952.57, 984.75]
"Quadro Group LLC"	[88855.22999999938, 2712.0]
"RUSSIAN STANDARD VODKA"	[283486.96999999834, 13441.81]
"Red Boot Distillery"	[142050.2400000003, 22940.729999999985]
"Rock Town Distillery"	[531.1800000000001, 13.5]
"Russian Standard Vodka, USA"	[183903.54000000015, 8754.75]
"Sazerac Co., Inc."	[67762009.67000091, 5101049.280000123]
"Sovereign Brands, LLC"	[225002.88000000027, 5965.5]
"Ste. Michelle Wine Estates"	[19603.679999999993, 738.0]
"Surville Enterprises Corp"	[10854.54, 371.25]
"Temperance Distiling Company"	[192.84, 9.0]
"The Country Vintner"	[1991.1599999999999, 45.0]
"Ti Beverage Group, Ltd"	[231.0, 9.0]
"Total Beverage Solutions"	[9030.96, 171.0]
"US Stone Castle Imports LLC"	[211.5, 6.0]
"Vintage Wine Estates, INC"	[584.8199999999999, 13.5]
"Vision Wine and Spirits"	[45293.12999999998, 1580.25]
"Vodquila LLC"	[106.56, 4.5]
"WINE IS FINE INC"	[28.5, 0.75]
"Wild Agave Imports LLC"	[449.16, 9.0]
"William Grant & Sons Inc"	[12833889.599998536, 442917.51999999565]
"Wine Intelligence"	[5074.44, 441.0]
"Winebow, Inc."	[9477.119999999999, 262.5]
"YAHARA BAY DISTILLERS INC"	[91599.25, 1521.1000000000013]
"3 BADGE CORPORATION"	[83594.54999999993, 2163.0]
"ARTISAN GRAIN DISTILLERY"	[15065.840000000022, 621.0]
"Aveniu Brands"	[132763.53000000023, 3180.3]
"B. T. O. Distillers LLC"	[4931.400000000001, 153.0]
"BROADBENT VENTURES LLC"	[93426.04999999978, 3311.8999999999965]
"Belmont Farms Of Va., Inc"	[213.12, 9.0]
"Better Brands Bev Co"	[12726.750000000024, 574.5]
"Blaum Bros. Distilling Co."	[50177.15999999997, 1739.25]
"Bluff Creek Distillery"	[11040.0, 552.0]
"CARRIAGE HOUSE IMPORTS"	[59003.27999999999, 1322.7000000000003]
"Caribbean Spirits Inc"	[1918.32, 72.0]
"Charles Jacquin Et. Cie., Inc."	[326724.5500000122, 38985.25]
"Constellation Wine Company, Inc."	[77101504.11006214, 7645911.449996338]
"Copper & Kings American Brandy Company"	[5371.47, 119.25]
"Coup de Foudre LLC"	[1035.0, 4.5]
"DUNKEL CORPORATION / Iowa Distilling"	[459798.09, 23797.749999999876]
"Disaronno International LLC"	[1975543.4299999562, 73485.43]
"Doc Brown Enterprises"	[1155.0, 31.5]
"Drink Dogg Alcohol Imports"	[412.38, 13.5]
"Evaton, Inc."	[14572.139999999998, 373.5]
"Frank-lin Distillers Products Ltd."	[45595.079999999994, 2334.75]
"Global Spirits USA, LLC"	[4150.389999999999, 209.70000000000005]
